Datetime,Text,coordinates,retweetCount,likeCount,rescue
2020-10-30 15:00:32+03:00,tüm depremlerin nerde olursa olsun bursada hissedilmesi,,125,,0
2020-10-30 15:00:45+03:00,"AFAD, merkez üssü Ege Denizi'nin Seferihisar açıkları olan 6,6 büyüklüğünde deprem meydana geldiğini açıkladı.",,179,,0
2020-10-30 15:01:31+03:00,Az önce yaşanan deprem nedeniyle tüm hemşehrilerimize geçmiş olsun dileklerimi iletiyorum. Can ve mal kaybının olmamasını umut ediyorum. Gelişmeleri takip ediyoruz. Afet ekiplerimiz hazır.,,725,,0
2020-10-30 15:02:09+03:00,"#DEPREM
EGE DENIZI https://t.co/291sqKc2Hx
30.10.2020, 14:51:25 TSİ
Büyüklük: 6.8
Derinlik: 11.8 km
#Kandilli",,4793,,0
2020-10-30 15:02:33+03:00,"#DEPREM: Ege Denizi'nde İzmir'in Seferihisar ilçesinde saat 14.51'de 6,6 büyüklüğünde bir deprem meydana geldi.

Gelişmeleri takip ediyoruz.

➡️ https://t.co/cofXSurHiN",,625,,0
2020-10-30 15:02:37+03:00,"#SONDAKİKA: AFAD AÇIKLADI
İzmir #Seferihisar açıklarında 6.6 büyüklüğünde #deprem  https://t.co/WLBF41vmhR https://t.co/JmMP1ReeG4",,176,,0
2020-10-30 15:02:52+03:00,"İzmir ve çevre illerde hissedildi...
Merkez üssü Ege Denizi olduğu söyleniyor.
Rabbim ülkemizi bütün felaketlerden muhafaza eylesin...
#deprem",,113,,0
2020-10-30 15:03:00+03:00,Kandilli Rasathanesi depremin büyüklüğünü 6.8 olarak açıkladı.,,105,,0
2020-10-30 15:03:59+03:00,"Ege ve Marmara Bölgesinde birçok ilimizde hissedilen deprem sebebiyle tüm halkımıza geçmiş olsun dileklerimi iletiyor, herhangi bir can ve mal kaybı olmamasını temenni ediyorum.",,216,,0
2020-10-30 15:04:04+03:00,"AFAD verilerine göre; 
saat 14.51'de merkez üssü Ege Denizi- Seferihisar olan 6.6 büyüklüğünde #deprem meydana gelmiştir.

İstanbul'da da hissedilen depremle ilgili olarak herhangi bir olumsuzluk bildirilmemiştir.

Tüm vatandaşlarımıza ve İzmir’e geçmiş olsun.

#İstanbul 
#deprem",,197,,0
2020-10-30 15:04:20+03:00,"Geçmiş olsun #İzmir, geçmiş olsun #Türkiye... Depremin büyüklüğü 6.8... #deprem https://t.co/HYDatWY1Ul",,152,,0
2020-10-30 15:04:59+03:00,"deprem mizahı utanç vericidir.
deprem mizahı iğrenç bir durumdur.
deprem mizahı zeka geriliği göstergesidir.
deprem mizahı hastalıktır.
deprem mizahı insanlık dışıdır.",,472,,0
2020-10-30 15:04:59+03:00,"#Deprem
Büyüklük : 6.6 (Mw)
Yer : Ege Denizi, 17.26 km. Seferihisar (#Izmir)

Kızılay Ege Afet Koordinasyon Merkezimiz depremin etkilerini araştırmaktalar. Tüm ekiplerimiz teyakkuza geçmiştir.
Tarih-Saat : 30.10.2020,14:51:24
Enlem : 37.8881 N
Boylam: 26.7770 E
Derinlik: 16.54 km",,154,,0
2020-10-30 15:05:32+03:00,İzmir... Muhtemelen çöken binalar mevcut #deprem https://t.co/M7eUtBqDQc,,235,,0
2020-10-30 15:06:33+03:00,Ege Denizi'nde meydana gelen ve birçok ilimizde hissedilen deprem sonrası can ve mal kaybının olmamasını temenni ediyor; tüm vatandaşlarımıza geçmiş olsun dileklerimizi iletiyoruz.,,2781,,0
2020-10-30 15:06:40+03:00,"Ege Denizi'nde deprem oldu.
İzmir ve İstanbul'da hissedilen depremin büyüklüğünü Kandilli Rasathanesi 6.8, AFAD 6.6 olarak açıkladı
https://t.co/Iq4F9Wnw1N https://t.co/PpwietsHlt",,172,,0
2020-10-30 15:06:48+03:00,Çöken binalar var. Umarız can kaybı yoktur #deprem https://t.co/dZHO2wF2Eo,,20,,1
2020-10-30 15:06:54+03:00,"İzmir'de yıkılan binalar var

Çok geçmiş olsun 😔 #deprem 

https://t.co/Oh3rkj6Jpu",,74,,1
2020-10-30 15:07:10+03:00,"Allahım beterinden koru,Ofiste ne kadar dosya dolap varsa yerde şu an..Ölüyoruz sandımmm

#İzmirDeprem",,166,,0
2020-10-30 15:07:20+03:00,"Ege Denizi'nin Seferihisar açıklarında meydana gelen 6.6 büyüklüğündeki deprem hepimizi endişelendirdi. 

Depremin hissedildiği illerimizdeki vatandaşlarımıza geçmiş olsun dileklerimi iletiyor, herhangi bir kayıp yaşanmamasını diliyorum.",,1051,,0
2020-10-30 15:07:52+03:00,"DEPREM VE İLETİŞİM..
LÜTFEN CEP TELEFONU (sesli görüşme) HATLARINI GEREKMEDİKÇE KULLANMAYIN. 
DATA HATTI (Whatsapp, Messenger, Twitter DM, SMS) ÜZERİNDEN HABERLEŞİN.",,140,,1
2020-10-30 15:07:56+03:00,"İzmir'deki depremde bazı binaların çöktüğü görüldü
https://t.co/4cqK48lFW9 https://t.co/fatG93Yp5F",,104,,0
2020-10-30 15:07:57+03:00,Alsancak liman prekastlar arabaların üstüne çöktü #deprem #izmir https://t.co/ZDyXahnG3y,,31,,1
2020-10-30 15:08:19+03:00,İzmir'de meydana gelen #deprem sonrası bazı binalar yıkıldı. https://t.co/LNaO8iVerP,,305,,0
2020-10-30 15:08:19+03:00,"Dün gözüme çarptı ama tavanı aşacağını beklemiyordum. Tekrar geçmiş olsun. 
Maalesef gelecek hafta hatta yarından itibaren büyük #deprem riski daha da artacak :( https://t.co/kOM3MoIqjE",,134,,0
2020-10-30 15:08:25+03:00,"Ege ve Marmara Bölgelerinde hissedilen depremde hiçbir vatandaşımızın zarar görmemiş olmasını temenni ediyor, etkilenen yerlerdeki vatandaşlarımızla geçmiş olsun dileklerimi paylaşıyorum.",,1352,,0
2020-10-30 15:08:36+03:00,"Güzel İzmirimiz'den acı görüntüler geliyor. Burası Alsancak...Birçok bina yıkılmış. Allah yardımcımız olsun, yakınlarımıza telefon hatları üzerinden ulaşamıyoruz, şimdilik whatsapp üzerinden aramalar sağlanmalı. https://t.co/pyj2AJzAdf",,78,,1
2020-10-30 15:08:46+03:00,"""Yarın çok geç olabilir."" Bu cümleyi asla aklınızdan çıkarmayın. #deprem",,186,,0
2020-10-30 15:08:47+03:00,"İzmir Bornova'da 8 katlı bina çöktü, enkaz altında kalanlar var. Umarım can kaybı yaşanmaz... #deprem https://t.co/MzL4O67yUg",,81,,1
2020-10-30 15:08:49+03:00,Depremlerde ve acil durumlarda iletişimin kesilmemesi için internet tabanlı haberleşme uygulamaları ve SMS'i tercih edin. https://t.co/gtjCjgJBVZ,,15028,,1
2020-10-30 15:09:44+03:00,"İzmir'de deprem sonrası birçok binanın yıkıldığı bilgisi geliyor. İşte görüntüler...
#deprem https://t.co/WDKGVTwLTt",,204,,0
